languages	waseda-01	uzh-02	uzh-01	ua-08	ua-07	ua-06	ua-05	ua-04	ua-03	ua-02	ua-01	tuebingen-oslo-03	tuebingen-oslo-02	tuebingen-oslo-01	racai-01	msu-04	msu-03	msu-02	msu-01	kucst-01	iitbhu-iiith-02	iitbhu-iiith-01	iit-varanasi-01	hamburg-01	bme-03	bme-02	bme-01	baseline	axsemantics-02	axsemantics-01
adyghe	73.1	90.3	90	90.6	83.2	88.9	82.1	40	81	0	59	0	0.9	0	0	52	3.7	82.5	0	0.7	89.1	85.5	57.8	82	0	0	0	59	13.4	0
albanian	24.4	35.7	36.4	20.5	13.5	20.3	21.8	2.9	18.9	12.6	22	0	0	0	0	5.5	4.4	25.4	0	0	29.7	26.4	0.8	16.1	0	0	0	22.3	0	0
arabic	27.6	44.3	45.2	35.8	20.4	35.5	19.8	0.4	0.1	25.5	25.6	0.1	0.3	0	0	0.1	0	1.2	0	0	35.2	31.9	0.8	23.5	0	0	0	25.6	0	0
armenian	37	64.6	64.9	49.1	37.8	43.3	50.5	4.1	49.9	47.7	37	0	0.1	0	0	16.6	18.2	37.7	0	0.1	54.4	51.6	5.8	39.8	0	0	0	37	10.7	0
asturian	58.6	74.6	72.5	58	45.8	56.8	67.9	22.3	57	58.9	58.6	0.1	1.8	0	0	51.1	43	58	0	0.6	70.3	66.3	23.9	64.5	2.4	0	2.4	58.6	9.8	0
azeri	39	62	62	46	47	24	48	12	36	48	24	0	1	0	0	26	34	43	0	0	65	63	28	37	0	0	0	24	24	0
bashkir	39.4	70.1	67.2	77.5	75.4	61.9	42.9	24.5	42.1	0	39.4	0	0.2	0	0	27.2	14.5	45.5	0	0.5	77.2	77.8	35.8	58.2	0	0	0	39.4	22.3	0
basque	6.5	12.7	13.3	11.4	6.2	10.5	6.7	6.7	3.3	0.5	0.1	0	0.2	0	0	0.9	0.1	0.1	0	0.5	11.8	9.6	0.5	1.7	0.1	0.1	0.1	0.1	0	0
belarusian	10.3	30.2	30	33.4	17.8	31.3	16.2	3.4	16.2	6.5	6.8	0	0.3	0	0	17.2	12.3	20.6	0	0.2	22.9	21.2	2.9	17.1	0.1	0.1	0.1	6.8	0	0
bengali	52	72	71	68	45	64	62	27	59	59	50	0	1	0	0	26	23	51	0	2	58	55	26	48	0	0	0	50	4	0
breton	61	71	72	69	52	67	69	50	66	62	20	9	10	0	0	29	27	21	0	1	61	61	30	34	13	5	13	20	1	0
bulgarian	50	58.5	58.2	62.9	33.8	62.4	50.4	13.8	49.3	27.5	30.9	0	0	0	0	21.9	13.3	31	0	0	54	51.5	9.7	38.5	0	0	0	30.7	4.7	0
catalan	60.8	69.9	68.5	72.5	58.1	71.6	62.8	17.1	60.5	55.2	60.8	0	0.8	0	0	51	29.6	59.2	0	0.1	64.4	61.8	25.7	54.6	0	0	0	60.8	0	0
classical-syriac	94	96	96	94	55	93	95	55	94	93	94	11	19	0	0	86	73	93	0	4	92	91	62	92	24	10	24	94	71	0
cornish	12	24	28	38	38	6	40	40	14	8	10	0	4	0	0	4	8	12	0	14	30	22	32	22	6	6	12	10	0	0
crimean-tatar	67	89	89	89	77	85	81	31	71	78	57	0	0	0	0	70	64	78	0	0	91	89	51	80	0	0	0	56	59	0
czech	39.3	46.5	46.5	40	0	40	42.3	0	39.8	33.8	38.5	0	0	0	0	24.6	20.1	38.7	0	0.1	37	33.8	8.1	31.8	0	0	0	38.5	8.8	0
danish	64.7	69.9	70	87.2	63.2	87.7	68.2	26.4	68.1	66.7	58.3	0	0.1	0	0	58.4	58.6	61.7	0	0.8	65.2	65.8	40.9	65.1	0	0	0	58.3	33.1	0
estonian	30.8	33.6	35.2	33.3	17.5	31.8	28.7	0.6	29	16.8	21.5	0	0	0	0	7.2	8.8	22.3	0	0.1	33	29	2.6	13.4	0	0	0	21.5	0	0
faroese	39.7	43.4	45.9	49.8	25.7	49.3	43.1	4.5	39.2	38.9	34.4	0	0	0	0	19.6	18	40.9	0	0.3	33	27.6	9.6	23.8	0	0	0	34.4	9.2	0
finnish	19.5	24.9	25.7	20	7.4	19.3	21.3	0	20.8	14.7	17.2	0	0	0	0	4.5	4.2	16.3	0	0	19.9	19	0.6	12.4	0	0	0	17.3	2.9	0
friulian	70	79	79	70	59	69	75	26	68	73	70	1	8	0	0	69	46	73	0	3	72	70	39	55	16	11	12	70	36	0
galician	53	61.1	60.8	47.6	42.9	41.8	53.7	5.4	50.3	48.3	53	0	0.4	0	0	42.1	32.7	53	0	0.2	48.4	43.5	15.3	47.5	1.1	0	1.1	53	5.8	0
georgian	70.6	84.5	84	88.2	75.2	87.5	83	22.8	83.4	75.3	70.6	0	0.1	0	0	58.2	59.5	63.9	0	0	80.4	77.7	23.8	70.7	0	0	0	70.6	47.5	0
greek	25.1	32.2	32.3	23.9	12.7	23.4	28.9	0	26.9	22.4	25.1	0	0	0	0	17.9	16.9	23.8	0	0.1	27.1	26.1	2.4	23.6	0	0	0	25.3	9.7	0
greenlandic	52	74	74	68	68	66	68	68	64	48	50	0	24	0	0	48	34	48	0	6	72	80	60	42	14	24	14	50	30	0
haida	29	63	60	20	35	20	49	47	10	44	29	0	3	0	0	8	2	27	0	0	57	48	12	0	1	3	3	29	0	0
hebrew	26	39.9	39.1	56.7	20.5	56.4	35.4	5.2	37.2	20.1	24.4	0	0.1	0	0	16.2	14.7	27.8	0	0.4	34.3	32.4	5.2	24.2	0.4	0	0.4	24.4	4.2	0
hindi	59.6	78	78	45.8	34.2	39.6	70.8	18.5	49.4	70.1	31.8	0	4.2	0	0	41.1	33.4	31.5	0	2.2	75.9	75.1	23.2	68.7	0	0	0	31.8	8.2	0
hungarian	25.9	41.3	40.3	48.2	24.4	47.9	33.1	1.7	28	32.3	17.5	0	0	0	0	10	10.9	28.2	0	0	39.2	33.5	4.7	21.6	0	0	0	17.4	2.2	0
icelandic	38.9	48.9	48.2	56.2	29.2	55.5	42.6	4.9	40.6	36.6	35.1	0	0	0	0	23.2	21.9	36.6	0	0.1	31.7	29.3	8.5	31	0	0	0	35.6	12.8	0
ingrian	4	36	36	20	20	38	32	26	26	28	20	0	2	0	0	20	20	26	0	0	46	34	24	14	10	6	4	20	6	0
irish	34.1	37.6	37.7	35.3	11.4	35.5	34.8	5	35.1	18.2	30.3	0	0	0	0	20	26.7	32.7	0	0	26	22.3	1.3	30.4	0	0	0	30.3	14.7	0
italian	42.2	57.4	57	47.8	29.9	46.5	42.2	9	38.4	40.4	40.5	0	0.1	0	0	28.5	22.6	43.9	0	0	47.3	45.4	11	43.1	0	0	0	40.5	0	0
kabardian	75	90	92	88	86	86	86	47	84	0	72	1	12	0	0	62	52	89	0	3	87	84	56	83	9	6	9	72	42	0
karelian	46	88	88	70	70	56	94	88	64	66	24	2	18	0	0	56	26	44	0	4	92	90	80	48	4	6	4	24	42	0
kashubian	56	64	66	44	44	58	68	52	54	60	60	2	6	0	0	56	52	58	0	8	58	52	46	52	14	16	14	60	8	0
kazakh	38	86	80	62	62	34	76	64	42	78	26	26	20	0	0	48	22	64	0	2	78	84	68	60	28	0	28	26	42	0
khakas	36	78	78	70	70	42	56	36	54	0	26	2	16	0	0	68	50	62	0	0	86	80	62	60	14	10	14	26	42	0
khaling	12.1	22.3	23	33.8	22.1	30.5	15.5	8.8	15.5	0.1	3.2	0	0	0	0	0.8	0.9	2.3	0	0.8	24.5	19.2	2.2	13.6	0	0.1	0.1	3.1	0	0
kurmanji	86.2	87.4	87.1	84	14.5	84	87.2	14.5	86.7	86	82.7	0	0.2	0	0	71.4	49.3	82.9	0	0	80.8	75.2	25.4	80.3	0	0	0	82.7	63.1	0
ladin	58	71	72	59	51	58	67	28	55	62	58	0	6	0	0	30	41	53	0	5	68	64	33	53	3	0	1	58	24	0
latin	16.1	17.1	17.7	33	1.1	33.1	16.9	1.1	17.4	12.1	16.1	0	0	0	0	8.5	8.1	14.4	0	0	15.3	14	1	9.3	0	0	0	16	0	0
latvian	52.8	54.5	54.5	55.9	26.8	57.3	56	5.4	52	51.5	52.8	0	0	0	0	35.6	31	48.3	0	0.3	35.9	36.4	9	40.5	0	0	0	52.2	5.4	0
lithuanian	23	20.7	20.4	32.4	9.2	32.6	23.2	1.6	19.2	14	23	0	0.1	0	0	6.6	8.4	19.1	0	0.2	16.9	14.5	2.8	10.8	0	0	0	23.3	0	0
livonian	29	33	32	35	16	34	30	8	29	24	28	0	0	0	0	14	11	29	0	0	33	32	6	24	0	0	0	28	10	0
lower-sorbian	36.3	45.6	46.2	54.2	28.6	54.3	48.7	5	50.5	35.9	32.6	0	1	0	0	13.9	8	35.7	0	1.4	40.9	37.5	9.9	31.6	0.2	0	0.2	32.1	4.9	0
macedonian	49.8	59.8	60.2	67.6	44.7	68.8	56.5	15.2	54.2	49.1	49.8	0	0.1	0	0	16.7	25.1	45.5	0	0.2	57.4	53.7	16.7	44.4	0	0	0	49.8	10.3	0
